referring_pcp_npi,receiving_hospital_npi,transaction_count
1962515023,1891000923,190
1467428680,1891000923,196
1891708012,1891000923,195
1326048844,1871530832,282
1831169069,1871530832,865
1811200033,1871530832,839
1275646119,1871530832,62
1114979184,1871530832,67
1073603411,1871530832,99
1093718272,1871530832,934
1073516001,1871530832,356
1750524856,1871530832,331
1821066341,1871530832,116
1235163528,1871530832,1051
1235163528,1407893464,57
1467645903,1871530832,1131
1922444363,1871530832,68
1639125560,1871530832,381
1487854311,1871530832,104
1033297429,1871530832,99
1730114315,1871530832,137
1790757821,1871530832,187
1184620460,1871530832,63
1316329675,1871530832,129
1497758445,1871530832,228
1952304966,1871530832,612
1801943600,1871530832,64
1750384780,1871530832,397
1932102670,1871530832,271
1649480237,1871530832,1160
1922280692,1871530832,921
1184603839,1871530832,237
1316206337,1871530832,876
1063407534,1871530832,1556
1639497779,1871530832,80
1245325661,1871530832,142
1558384099,1871530832,100
1265606255,1871530832,67
1548286396,1871530832,94
1144309121,1871530832,65
1689677619,1871530832,496
1932128782,1871530832,56
1063415131,1871530832,397
1750608113,1871530832,81
1760478192,1871530832,51
1891725479,1407893464,123
1891725479,1871530832,1908
1205878220,1871530832,406
1194743914,1871530832,238
1902823099,1679924005,96
1821066341,1679924005,80
1790754646,1679924005,178
1407890593,1679924005,100
1740252642,1679924005,148
1679665095,1942676432,67
1073603411,1942676432,327
1548317498,1942676432,172
1942203849,1942676432,63
1962497867,1023055126,948
1962497867,1932146032,53
1669556148,1720032345,507
1942255575,1982650024,68
1538104526,1982650024,228
1871756080,1023055126,61
1861668907,1023055126,566
1396932463,1992776405,1148
1396932463,1023055126,806
1851554836,1982650024,211
1396910600,1023055126,597
1275793283,1932146032,74
1275793283,1023055126,1057
1053406405,1023055126,1777
1053406405,1932146032,74
1205825866,1982650024,98
1679558738,1982650024,92
1215902796,1992776405,106
1346533320,1023055126,762
1437206315,1023055126,1059
1679521090,1023055126,210
1578597902,1992776405,574
1902823099,1982650024,84
1275720542,1023055126,912
1275720542,1932146032,53
1760725915,1982650024,116
1831169069,1023055126,158
1386901536,1982650024,398
1760762348,1457640922,55
1760762348,1023055126,73
1760762348,1720032345,828
1114961596,1982650024,132
1265756837,1023055126,59
1265756837,1992776405,385
1154313708,1023055126,123
1811077712,1265487193,90
1588928980,1023055126,53
1588928980,1992776405,173
1881673093,1982650024,164
1104890003,1023055126,52
1104890003,1982650024,106
1053425181,1982650024,138
1508830407,1023055126,1485
1508830407,1932146032,86
1508830407,1992776405,78
1851345755,1982650024,394
1174564314,1982650024,51
1083905822,1023055126,959
1083905822,1932146032,52
1083905822,1750328852,52
1770578882,1023055126,86
1770578882,1982650024,82
1811200033,1023055126,168
1265427553,1992776405,196
1265427553,1023055126,380
1154491207,1023055126,211
1275646119,1932146032,56
1275646119,1265487193,157
1275646119,1023055126,1594
1437138641,1982650024,131
1972674968,1992776405,527
1285662148,1023055126,1445
1114979184,1023055126,72
1508862939,1982650024,71
1093830176,1023055126,81
1093830176,1982650024,533
1578766697,1023055126,69
1578766697,1265487193,202
1003860982,1982650024,212
1982661617,1992776405,107
1982661617,1023055126,67
1437449766,1982650024,85
1770842759,1982650024,96
1063407351,1992776405,54
1063407351,1720032345,633
1093150351,1982650024,67
1194710889,1992776405,212
1194710889,1023055126,270
1265426050,1023055126,638
1275528770,1982650024,188
1023000999,1023055126,150
1023000999,1720032345,782
1386615540,1982650024,203
1306862669,1023055126,1060
1922241959,1720032345,261
1124007919,1720032345,233
1316933955,1023055126,1367
1093718272,1023055126,113
1447307251,1023055126,87
1447307251,1982650024,298
1720158868,1023055126,315
1962499582,1720032345,84
1962499582,1023055126,721
1962499582,1750328852,275
1457346132,1023055126,608
1457448557,1023055126,962
1073516001,1023055126,70
1427074210,1023055126,396
1376538207,1023055126,984
1144259631,1982650024,58
1780715342,1982650024,755
1801829114,1023055126,512
1700810371,1023055126,118
1700810371,1982650024,77
1053453795,1982650024,173
1053306175,1992776405,144
1790891315,1023055126,212
1184612921,1023055126,131
1053394916,1992776405,76
1710032255,1720032345,77
1710032255,1750328852,64
1710032255,1932146032,107
1710032255,1023055126,1341
1255579652,1992776405,171
1770538738,1023055126,58
1730474321,1982650024,66
1497730501,1023055126,288
1811935612,1023055126,86
1811935612,1720032345,90
1902007107,1023055126,329
1922444363,1932146032,67
1922444363,1023055126,595
1407890593,1992776405,179
1407890593,1720032345,143
1407890593,1982650024,226
1407890593,1023055126,227
1811905409,1023055126,381
1811905409,1720032345,986
1639125560,1023055126,81
1639125560,1720032345,94
1497067235,1023055126,244
1730126574,1023055126,781
1730126574,1932146032,58
1093809857,1023055126,78
1497791602,1023055126,306
1720340193,1982650024,387
1598750697,1023055126,580
1043294747,1023055126,56
1255400362,1720032345,54
1790776672,1932146032,105
1790776672,1720032345,234
1790776672,1023055126,1543
1326057167,1982650024,89
1013179860,1023055126,209
1477548154,1720032345,1109
1477548154,1124065255,152
1477548154,1023055126,126
1144288747,1982650024,230
1740252642,1982650024,66
1093706962,1023055126,444
1487854311,1023055126,1400
1487854311,1992776405,132
1487854311,1720032345,81
1104818889,1023055126,136
1932179389,1982650024,151
1144664376,1316379738,69
1144664376,1982650024,1031
1174565543,1023055126,178
1881089795,1023055126,271
1720181738,1023055126,198
1730114315,1982650024,93
1285723718,1023055126,197
1427066489,1023055126,78
1427066489,1720032345,321
1508838400,1982650024,171
1417992397,1023055126,145
1154342046,1992776405,963
1154342046,1023055126,85
1861751703,1982650024,85
1699760587,1023055126,875
1417990367,1023055126,530
1689647489,1720032345,598
1689647489,1457640922,61
1790757821,1932146032,68
1790757821,1023055126,971
1821145624,1720032345,345
1821145624,1023055126,77
1518014323,1023055126,791
1891726303,1982650024,71
1508961996,1023055126,52
1184620460,1265487193,1055
1184620460,1023055126,323
1104802271,1982650024,116
1376635052,1023055126,50
1063467876,1982650024,342
1881646073,1982650024,440
1881646073,1023055126,102
1346353299,1023055126,518
1548317498,1720032345,68
1548317498,1023055126,447
1548317498,1932146032,51
1063739480,1982650024,76
1649212598,1982650024,62
1720079114,1982650024,84
1053408567,1982650024,134
1922092535,1023055126,276
1801820519,1720032345,122
1235242181,1932146032,113
1235242181,1750328852,71
1235242181,1982650024,53
1235242181,1023055126,1907
1225120926,1023055126,513
1225120926,1932146032,56
1922048883,1023055126,549
1427251859,1023055126,207
1902842412,1023055126,619
1710975248,1720032345,56
1114974979,1992776405,117
1528105616,1992776405,244
1528105616,1023055126,81
1083703540,1023055126,230
1801880737,1023055126,157
1003801788,1023055126,692
1700846334,1992776405,57
1346507423,1720032345,204
1548251705,1982650024,87
1487635777,1982650024,402
1356311831,1982650024,185
